127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/default/index, HTTP/1.1, 200, 0.193000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/custom/layout.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/custom/index.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/css/custom/users.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/title-sidebar.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/analytics.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/logo.jpg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/banner.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/dot.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/arrow.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/title-videos.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/title-news.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/title-videos-english.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/title-more.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/carousel/1.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/carousel/2.jpg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/carousel/3.jpg, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/carousel/4.jpg, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-01-04 21:33:08, GET, /fudanbq/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/bg.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/bg-title.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/bg-content.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/bg-sidebar.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:33:10, GET, /fudanbq/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:35, GET, /fudanbq/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:33:48, GET, /fudanbq/default/fixpc, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-01-04 21:33:48, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:33:49, GET, /fudanbq/comments/post.load, HTTP/1.1, 401, 0.058000
127.0.0.1, 2015-01-04 21:34:12, POST, /fudanbq/default/fixpc, HTTP/1.1, 200, 0.086000
127.0.0.1, 2015-01-04 21:34:12, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-01-04 21:34:12, GET, /fudanbq/comments/post.load, HTTP/1.1, 401, 0.052000
127.0.0.1, 2015-01-04 21:34:20, POST, /fudanbq/default/fixpc, HTTP/1.1, 303, 0.170000
127.0.0.1, 2015-01-04 21:34:22, GET, /fudanbq/default/fixpc, HTTP/1.1, 200, 0.091000
127.0.0.1, 2015-01-04 21:34:22, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-01-04 21:34:22, GET, /fudanbq/comments/post.load, HTTP/1.1, 401, 0.055000
127.0.0.1, 2015-01-04 21:34:29, GET, /fudanbq/default/howtodo, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-01-04 21:34:29, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:34:38, GET, /fudanbq/default/departments, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-01-04 21:34:38, GET, /fudanbq/static/images/logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:34:38, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:34:45, GET, /fudanbq/default/activities, HTTP/1.1, 200, 0.078000
127.0.0.1, 2015-01-04 21:34:45, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-01-04 21:35:04, GET, /fudanbq/default/services, HTTP/1.1, 200, 0.102000
127.0.0.1, 2015-01-04 21:35:04, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/default/poster, HTTP/1.1, 200, 0.073000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/css/custom/poster.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/css/lightbox.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/js/jquery-1.11.0.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/js/lightbox.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/images/poster-top.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/js/masonry.pkgd.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/static/images/poster-bot.jpg, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/default/download/poster.filename.9c99f94ac9449e00.353236303434305f3133313130313731383330335f322e6a7067.jpg, HTTP/1.1, 200, 0.065000
